"Date","GSPC","N225","FTSE","FCHI","GDAXI","SSE","BSE","HSI","TWII","MOEX"
2020-05-12,2870.1201171875,20366.48046875,5994.7998046875,4472.5,10819.5,2891.55590820312,31371.119140625,24245.6796875,10879.4697265625,2642.0400390625
2020-05-13,2820,20267.05078125,5904.10009765625,4344.9501953125,10542.66015625,2898.05004882812,32008.609375,24180.30078125,10938.26953125,2604.97998046875
2020-05-14,2852.5,19914.779296875,5741.5,4273.1298828125,10337.01953125,2870.34204101562,31122.890625,23829.740234375,10780.8798828125,2590.31005859375
2020-05-15,2863.69995117188,20037.470703125,5799.7998046875,4277.6298828125,10465.169921875,2868.458984375,31097.73046875,23797.470703125,10814.919921875,2593.90991210938
2020-05-18,2953.90991210938,20133.73046875,6048.60009765625,4498.33984375,11058.8701171875,2875.41796875,30028.98046875,23934.76953125,10740.5498046875,2694.25
2020-05-19,2922.93994140625,20433.44921875,6002.2001953125,4458.16015625,11075.2900390625,2898.57592773438,30196.169921875,24388.130859375,10860.4404296875,2711.71997070312
2020-05-20,2971.61010742188,20595.150390625,6067.2001953125,4496.97998046875,11223.7099609375,2883.73803710938,30818.609375,24399.94921875,10907.7998046875,2770.7900390625
2020-05-21,2948.51000976562,20552.310546875,6015.2998046875,4445.4501953125,11065.9296875,2867.92407226562,30932.900390625,24280.029296875,11008.3095703125,2718.669921875
2020-05-22,2955.44995117188,20388.16015625,5993.2998046875,4444.56005859375,11073.8701171875,2813.76489257812,30672.58984375,22930.140625,10811.150390625,2709.3798828125
2020-05-25,2973.60998535156,20741.650390625,6030.5498046875,4539.91015625,11391.2802734375,2817.96997070312,30640.9453125,22952.240234375,10871.1796875,2757.92993164062
2020-05-26,2991.77001953125,21271.169921875,6067.7998046875,4606.240234375,11504.650390625,2846.54711914062,30609.30078125,23384.66015625,10997.2099609375,2754.0400390625
2020-05-27,3036.1298828125,21419.23046875,6144.2998046875,4688.740234375,11657.6904296875,2836.80395507812,31605.220703125,23301.359375,11014.66015625,2741.02001953125
2020-05-28,3029.72998046875,21916.310546875,6218.7998046875,4771.39013671875,11781.1298828125,2846.22192382812,32200.58984375,23132.759765625,10944.1904296875,2779.97998046875
2020-05-29,3044.31005859375,21877.890625,6076.60009765625,4695.43994140625,11586.849609375,2852.35107421875,32424.099609375,22961.470703125,10942.16015625,2734.830078125
2020-06-01,3055.72998046875,22062.390625,6166.39990234375,4762.77978515625,11804.0649414062,2915.43090820312,33303.51953125,23732.51953125,11079.01953125,2750.23999023438
2020-06-02,3080.82006835938,22325.609375,6220.10009765625,4858.97021484375,12021.2802734375,2921.39794921875,33825.53125,23995.939453125,11127.9296875,2796.51000976562
